participant_id,video_file,frame,timestamp_sec,fps,detection_mode,AU04,AU06,AU12,AU17,Pitch,Yaw,face_detected,face_x,face_y,face_w,face_h
2,p2_854.mp4,0,0.0,30.0,opencv-fallback,,,,,8.805555555555555,1.7578125,1,870.0,254.0,255.0,255.0
2,p2_854.mp4,1,0.03333333333333333,30.0,opencv-fallback,,,,,8.805555555555555,1.7578125,1,871.0,255.0,253.0,253.0
2,p2_854.mp4,2,0.06666666666666667,30.0,opencv-fallback,,,,,8.777777777777777,1.78125,1,872.0,256.0,252.0,252.0
2,p2_854.mp4,3,0.1,30.0,opencv-fallback,,,,,8.61111111111111,1.875,1,875.0,260.0,250.0,250.0
2,p2_854.mp4,4,0.13333333333333333,30.0,opencv-fallback,,,,,8.583333333333332,1.8515625,1,873.0,259.0,253.0,253.0
2,p2_854.mp4,5,0.16666666666666666,30.0,opencv-fallback,,,,,8.5,1.921875,1,876.0,262.0,250.0,250.0
2,p2_854.mp4,6,0.2,30.0,opencv-fallback,,,,,8.444444444444445,1.875,1,872.0,260.0,256.0,256.0
2,p2_854.mp4,7,0.23333333333333334,30.0,opencv-fallback,,,,,8.416666666666666,1.8984375000000002,1,875.0,263.0,251.0,251.0
2,p2_854.mp4,8,0.26666666666666666,30.0,opencv-fallback,,,,,8.277777777777777,2.109375,1,876.0,262.0,258.0,258.0
2,p2_854.mp4,9,0.3,30.0,opencv-fallback,,,,,8.305555555555555,2.1328125,1,877.0,262.0,257.0,257.0
2,p2_854.mp4,10,0.3333333333333333,30.0,opencv-fallback,,,,,8.222222222222223,2.15625,1,879.0,265.0,254.0,254.0
2,p2_854.mp4,11,0.36666666666666664,30.0,opencv-fallback,,,,,8.194444444444445,2.1796875,1,880.0,266.0,253.0,253.0
2,p2_854.mp4,12,0.4,30.0,opencv-fallback,,,,,8.166666666666666,2.203125,1,880.0,266.0,254.0,254.0
2,p2_854.mp4,13,0.43333333333333335,30.0,opencv-fallback,,,,,8.25,2.3203125,1,889.0,271.0,241.0,241.0
2,p2_854.mp4,14,0.4666666666666667,30.0,opencv-fallback,,,,,8.13888888888889,2.2734375,1,883.0,268.0,251.0,251.0
2,p2_854.mp4,15,0.5,30.0,opencv-fallback,,,,,8.166666666666666,2.296875,1,886.0,270.0,246.0,246.0
