participant_id,video_file,frame,timestamp_sec,fps,detection_mode,AU04,AU06,AU12,AU17,Pitch,Yaw,face_detected,face_x,face_y,face_w,face_h
25,p25_623.mp4,0,0.0,30.0,opencv-fallback,,,,,8.277777777777777,1.3125,1,943.0,346.0,90.0,90.0
25,p25_623.mp4,1,0.03333333333333333,30.0,opencv-fallback,,,,,8.25,1.3828125,1,944.0,346.0,91.0,91.0
25,p25_623.mp4,2,0.06666666666666667,30.0,opencv-fallback,,,,,8.277777777777777,1.359375,1,945.0,347.0,88.0,88.0
25,p25_623.mp4,3,0.1,30.0,opencv-fallback,,,,,8.194444444444445,1.4765625,1,946.0,347.0,91.0,91.0
25,p25_623.mp4,4,0.13333333333333333,30.0,opencv-fallback,,,,,8.222222222222223,1.40625,1,945.0,347.0,90.0,90.0
25,p25_623.mp4,5,0.16666666666666666,30.0,opencv-fallback,,,,,11.166666666666668,5.0625,1,902.0,173.0,332.0,332.0
25,p25_623.mp4,6,0.2,30.0,opencv-fallback,,,,,11.166666666666668,4.875,1,903.0,178.0,322.0,322.0
25,p25_623.mp4,7,0.23333333333333334,30.0,opencv-fallback,,,,,8.194444444444445,1.3828125,1,946.0,349.0,87.0,87.0
25,p25_623.mp4,8,0.26666666666666666,30.0,opencv-fallback,,,,,11.277777777777779,5.15625,1,904.0,171.0,332.0,332.0
25,p25_623.mp4,9,0.3,30.0,opencv-fallback,,,,,8.194444444444445,1.5234375,1,947.0,347.0,91.0,91.0
25,p25_623.mp4,10,0.3333333333333333,30.0,opencv-fallback,,,,,8.166666666666666,1.5,1,946.0,347.0,92.0,92.0
25,p25_623.mp4,11,0.36666666666666664,30.0,opencv-fallback,,,,,8.222222222222223,1.5,1,946.0,346.0,92.0,92.0
25,p25_623.mp4,12,0.4,30.0,opencv-fallback,,,,,8.11111111111111,1.640625,1,946.0,345.0,98.0,98.0
25,p25_623.mp4,13,0.43333333333333335,30.0,opencv-fallback,,,,,8.166666666666666,1.3125,1,941.0,346.0,94.0,94.0
25,p25_623.mp4,14,0.4666666666666667,30.0,opencv-fallback,,,,,8.166666666666666,1.5468750000000002,1,945.0,345.0,96.0,96.0
25,p25_623.mp4,15,0.5,30.0,opencv-fallback,,,,,8.13888888888889,1.5234375,1,945.0,346.0,95.0,95.0
