seconds,vid_au4_mean,vid_au4_std,vid_au6_mean,vid_au6_std,vid_au12_mean,vid_au12_std,vid_au17_mean,vid_au17_std,vid_yaw_mean,vid_yaw_std,vid_pitch_mean,vid_pitch_std,vid_gaze_mean,vid_gaze_std
5,-1.3424626483081923,0.04111689360808778,-2.2471868562421893,0.12040664202177603,1.2299455935949073,0.08151056416968612,-2.2820298609997476,0.20626465226586377,-0.011386150519053142,0.0056709704598894625,0.06093457209567229,0.011951901868842674,0.3939520211143499,0.17169642898283227
10,-1.3315960676971994,0.05587139482113618,-2.2210255298854182,0.060075212355583114,1.268163940462646,0.07679663569901618,-2.4620881491250155,0.15344921504297612,-0.0031718071301778156,0.0014568598235519452,0.06814619777103265,0.006122003215170504,0.3102488487782999,0.19131423980026102
15,-1.3182108219031718,0.054623777799287405,-2.294327829493164,0.09623491738950625,1.2991392113143145,0.08156430711761906,-2.6148399269718348,0.21662398966597646,-0.003997365037600199,0.0026607490445515443,0.06032716266810894,0.007270496781629352,0.32286485061991044,0.18536896603568057
20,-1.3062773526093832,0.04434725847165498,-2.2652622147490633,0.06508494149398741,1.292526980791165,0.04984313873221665,-2.5814642328445303,0.18434229492226703,-0.003735004464785258,0.0022248441214360775,0.06182461805641651,0.004749963251627871,0.2254236988270847,0.15894173361227115
25,-1.342699793391901,0.04338026692274275,-2.28965882664897,0.08306390623870806,1.3093174707655337,0.05722989947148608,-2.6502902024367474,0.21234367150009245,-0.0034247771898905438,0.0012052041430921571,0.0636057819177707,0.00665387603724732,0.2968755905936703,0.1981024097170698
30,-1.3425437489566014,0.044824163777093876,-2.279260025985223,0.07633043122262323,1.3042846506849608,0.06321015943827092,-2.5800382534955473,0.21499073358855061,-0.002762293020884196,0.0014032022847529366,0.06400976893802483,0.00808957411592606,0.33645477997240125,0.16850425850840547
35,-1.3419469446255725,0.03846454060537563,-2.242641987538858,0.05626780261467192,1.3268453571011836,0.04251648741174976,-2.529144677748409,0.11902325221583686,-0.003990627725919088,0.001562361317082975,0.06553485373655955,0.0032798392384019064,0.2326092918682366,0.18093342320517586
40,-1.332008745415782,0.04079427588566338,-2.265485487673387,0.09058069285027782,1.3254701481333226,0.09560428070001745,-2.534377787885428,0.26008603450351353,-0.0026813773314158123,0.0018868937498271463,0.06396879809598129,0.005770217327375839,0.2527896912184022,0.1769109167021441
45,-1.3363177667383552,0.0663586561011231,-2.239961674467633,0.0703584885996168,1.3034400686835086,0.06875826699531332,-2.435850765669264,0.2328882002725276,-0.003019784092903137,0.0019418050055647449,0.06759332473079363,0.00733708277804857,0.18723996705875745,0.14650691431318164
50,-1.3496446134294529,0.04427064526031022,-2.236327431417993,0.05389429424355793,1.304829275309643,0.04791282795637323,-2.445970093664728,0.2269798570491762,-0.003026658892631531,0.001956674666190703,0.06608676868180434,0.00424162198627161,0.16742744754403924,0.1528446896924719
55,-1.3325195798322065,0.08609004654465464,-2.2582739315410376,0.07423487088464054,1.336465396555815,0.07312253675474997,-2.567506300242126,0.1746531134525166,-0.002269570231437683,0.0035399046751573406,0.06354099703331788,0.0073209915696823835,0.25887655536743104,0.15525389642420886
60,-1.3208784467548929,0.04767215152129168,-2.2444093840550727,0.07441221494099781,1.347840585356394,0.052186456361308864,-2.560095434486451,0.16227334478637429,-0.003857135772705078,0.0019268801205240477,0.06460845097899437,0.005264814153783823,0.19298774732675478,0.16215412400930213
65,-1.326813440815956,0.04766138473998887,-2.2643855095670045,0.07011043916230421,1.3001311805548228,0.05287541543621908,-2.490516787935918,0.13409029948916604,-0.0055630111694335935,0.0028042179516850913,0.0631593705713749,0.004020662963735183,0.20173299865886785,0.20578233282018665
70,-1.3435974047041561,0.058689774961559284,-2.2617875441260917,0.08269892929609997,1.3150928136267028,0.06769663987602113,-2.532837432846011,0.2640935541341919,-0.005050845146179199,0.0019357408244147735,0.06479865449170272,0.005875921169028049,0.3190739619391354,0.19117498676799455
75,-1.3517660720319664,0.05428400895164767,-2.2879474080977675,0.08318069214660087,1.344735057849974,0.059246219245892295,-2.6224618295021136,0.14940271450601886,-0.00434964120388031,0.002110201571059508,0.0626918842146794,0.0033696826139887753,0.2874533401129309,0.19284567396164343
80,-1.3482265751759264,0.04799047982210303,-2.268438867433236,0.08414025648723487,1.3098278278569233,0.07070901253026692,-2.580991685641332,0.1670891030066998,-0.003479281266530355,0.0016119514766946947,0.06294416286051273,0.0040953986914730334,0.32590121205022127,0.20765787253624762
85,-1.306627918499436,0.046249477213181255,-2.2967027755863074,0.07367095983450653,1.3349442468730817,0.05612433520785802,-2.637781261292778,0.10845605938694525,-0.001440407435099284,0.001365060087462925,0.05994437632461389,0.0030640402876122587,0.2887868905350446,0.19979360059285411
90,-1.3439278113475592,0.05542001869911086,-2.3006878607157675,0.0823267432009438,1.3265415816547712,0.08047754407845639,-2.6400330343770366,0.15197460222605577,-0.001683658758799235,0.0014028996427258786,0.06073226841787497,0.00441315620844288,0.33314559449413605,0.18086816955698828
95,-1.3625850139166593,0.04822979566729043,-2.2741525024484037,0.07861131094941477,1.2302738218106029,0.055733796965008825,-2.4682382684973025,0.15174977041387983,-0.005144657293955485,0.0019128830537677337,0.06157530633111795,0.004385459921256509,0.414532414886411,0.14596418114815252
100,-1.3548165022404548,0.04399207192633236,-2.247410616038037,0.06388008293846975,1.2009649125860804,0.0329833772575744,-2.526068306659951,0.09182167870541383,-0.0010507414738337199,0.0021415173611762403,0.06263689436018467,0.003980718495804209,0.5065267476829498,0.11994508478180445
