seconds,aud_F0semitoneFrom27.5Hz_sma3nz_amean,aud_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,aud_loudness_sma3_amean,aud_loudness_sma3_stddevNorm,aud_jitterLocal_sma3nz_amean,aud_shimmerLocaldB_sma3nz_amean,aud_HNRdBACF_sma3nz_amean
5,17.54290199279785,0.2718873620033264,0.30388736724853516,0.4811643958091736,0.046948935836553574,1.272717833518982,-0.955219030380249
10,21.726404190063477,0.10745660215616226,0.44229856133461,0.39126238226890564,0.027264155447483063,1.2992186546325684,1.7847827672958374
15,21.427772521972656,0.1765262931585312,0.3290082812309265,0.3682844936847687,0.024325300008058548,1.5789729356765747,1.3698982000350952
20,21.315860748291016,0.15726076066493988,0.3468867540359497,0.38766443729400635,0.023473147302865982,1.3679760694503784,1.1946194171905518
25,21.24184226989746,0.1064768061041832,0.37502774596214294,0.419276624917984,0.025730779394507408,1.4202003479003906,1.6088279485702515
30,21.017305374145508,0.10586503893136978,0.41928085684776306,0.31935256719589233,0.03972326219081879,1.606826663017273,0.7569662928581238
35,22.437618255615234,0.16211926937103271,0.3580809235572815,0.49737945199012756,0.021772785112261772,1.1818746328353882,2.6187264919281006
40,22.165489196777344,0.15860821306705475,0.3429149389266968,0.40319544076919556,0.02610059268772602,1.3121745586395264,2.1089165210723877
45,21.702987670898438,0.17128443717956543,0.3858209550380707,0.5130224823951721,0.02503124810755253,1.3262759447097778,1.3355447053909302
50,21.91529655456543,0.17432871460914612,0.3770487904548645,0.37631717324256897,0.020498672500252724,1.4571869373321533,1.7806130647659302
55,20.916736602783203,0.18579219281673431,0.35799744725227356,0.5855913758277893,0.029809100553393364,1.4631266593933105,0.5411344170570374
60,21.915164947509766,0.18080632388591766,0.36333656311035156,0.4548756778240204,0.0511675663292408,1.5084199905395508,1.087843418121338
65,21.781055450439453,0.14637058973312378,0.387001097202301,0.4769173264503479,0.021026039496064186,1.1055576801300049,2.4732184410095215
70,23.19741439819336,0.16335751116275787,0.39530128240585327,0.5769984722137451,0.014246814884245396,1.1910593509674072,2.7993288040161133
75,21.946134567260742,0.1281667798757553,0.4195784628391266,0.47680842876434326,0.052458543330430984,1.4579256772994995,1.2488270998001099
80,20.89470100402832,0.13824301958084106,0.3809913396835327,0.3807705342769623,0.03752807527780533,1.316616415977478,0.8874717354774475
85,21.859745025634766,0.1395629495382309,0.3376486897468567,0.3663356304168701,0.03961140289902687,1.6126720905303955,1.8241907358169556
90,20.77141761779785,0.15247826278209686,0.3370369076728821,0.43637964129447937,0.02590934932231903,1.4702144861221313,1.4133796691894531
95,17.11138153076172,0.20841708779335022,0.2243756800889969,0.3154033124446869,0.026531623676419258,1.5157958269119263,-2.053152322769165
100,19.907184600830078,0.21977727115154266,0.23876427114009857,0.34546560049057007,0.0552046000957489,1.2303935289382935,0.22620132565498352
105,21.24529266357422,0.114295095205307,0.33140671253204346,0.34729570150375366,0.02253534644842148,1.1924024820327759,1.4155946969985962
110,24.33916473388672,0.11859702318906784,0.377706378698349,0.47602036595344543,0.031366944313049316,1.4384526014328003,2.609346866607666
115,21.77166175842285,0.14235325157642365,0.31937718391418457,0.4560283124446869,0.018787961453199387,1.339818000793457,1.6673979759216309
120,20.669645309448242,0.1988576203584671,0.318233460187912,0.4463575780391693,0.02277572825551033,1.3663387298583984,1.0299720764160156
125,23.737146377563477,0.14512567222118378,0.45703715085983276,0.4632364511489868,0.027211949229240417,1.3126662969589233,2.503692150115967
130,22.374826431274414,0.11486092954874039,0.37636613845825195,0.4242900013923645,0.026657292619347572,1.5345184803009033,1.4556885957717896
135,22.798797607421875,0.0826081708073616,0.38526198267936707,0.503302276134491,0.01913418248295784,1.2936193943023682,2.07794451713562
140,20.953283309936523,0.18512900173664093,0.25848954916000366,0.421328067779541,0.02089638076722622,1.2298423051834106,1.328819751739502
145,21.97814178466797,0.19958308339118958,0.34085774421691895,0.5046126842498779,0.03556154668331146,1.2166101932525635,2.090714693069458
150,21.132814407348633,0.19284391403198242,0.3867093622684479,0.5589308142662048,0.026393577456474304,1.4618619680404663,0.8906470537185669
155,22.249372482299805,0.17448696494102478,0.3167731463909149,0.48488032817840576,0.028514940291643143,1.3939539194107056,1.9894860982894897
160,21.27433967590332,0.12094302475452423,0.3197542130947113,0.40131303668022156,0.030263671651482582,1.476515293121338,1.0941873788833618
165,21.76126480102539,0.16165781021118164,0.2860623300075531,0.2890128195285797,0.02682478167116642,1.1972650289535522,2.119708776473999
170,19.812509536743164,0.22477386891841888,0.264000803232193,0.4581349194049835,0.043847911059856415,1.474175214767456,0.4037916362285614
175,19.969844818115234,0.3067738711833954,0.20948588848114014,0.3937978148460388,0.02969498187303543,1.2898106575012207,1.4276928901672363
180,18.538557052612305,0.2247379720211029,0.2241220921278,0.4232046604156494,0.032067038118839264,1.365157127380371,-1.3565866947174072
185,21.106388092041016,0.1479080766439438,0.3602879047393799,0.40882912278175354,0.026705630123615265,1.4449214935302734,0.7755642533302307
190,20.578289031982422,0.16483944654464722,0.3087175190448761,0.324190616607666,0.03713435307145119,1.7019425630569458,0.5945309996604919
195,20.59961700439453,0.14336523413658142,0.32138028740882874,0.4326099455356598,0.0445798821747303,1.5210858583450317,0.03645559400320053
200,21.045299530029297,0.1822875589132309,0.39072689414024353,0.5054742693901062,0.03666197508573532,1.40645170211792,1.0073468685150146
205,20.85407829284668,0.16889320313930511,0.3311648666858673,0.46356749534606934,0.026373278349637985,1.3202974796295166,0.7520127296447754
210,20.88212776184082,0.14088866114616394,0.38387367129325867,0.5212082862854004,0.01623441092669964,1.3272571563720703,1.1380013227462769
215,21.725862503051758,0.12860900163650513,0.39067980647087097,0.4643402695655823,0.021582724526524544,1.415292739868164,1.8479454517364502
220,21.92941665649414,0.09635139256715775,0.36903539299964905,0.3580546975135803,0.042374029755592346,1.4653345346450806,1.7893235683441162
225,20.23304557800293,0.18286709487438202,0.3444529175758362,0.6619586944580078,0.022449854761362076,1.436631679534912,0.25408706068992615
230,20.543649673461914,0.15104015171527863,0.36308929324150085,0.49674421548843384,0.041697416454553604,1.4235806465148926,0.5530957579612732
235,21.093952178955078,0.11694659292697906,0.343260258436203,0.38908275961875916,0.029078243300318718,1.4416394233703613,1.6115243434906006
240,13.828393936157227,0.036146730184555054,0.20388002693653107,0.23888884484767914,0.05441424623131752,0.9483842253684998,-4.364973068237305
245,26.115371704101562,0.20510923862457275,0.4415734112262726,0.5534560084342957,0.026979634538292885,1.2262970209121704,3.598552942276001
250,25.574228286743164,0.12305207550525665,0.4172099530696869,0.46427711844444275,0.025797761976718903,1.3788098096847534,3.3466732501983643
255,22.8539981842041,0.12865091860294342,0.4264346659183502,0.5178226232528687,0.025644848123192787,1.2166577577590942,2.702383041381836
260,23.429182052612305,0.10900271683931351,0.35096946358680725,0.47596895694732666,0.04186661168932915,1.3155182600021362,2.6043505668640137
265,22.710412979125977,0.1239226758480072,0.3997108042240143,0.4642780125141144,0.01871299557387829,1.261786937713623,2.3891594409942627
270,22.519580841064453,0.13265544176101685,0.36125949025154114,0.385200560092926,0.02511807717382908,1.3053019046783447,1.902624249458313
275,23.908172607421875,0.12131200730800629,0.3925105333328247,0.4580002427101135,0.03924523666501045,1.4551903009414673,2.538334846496582
280,20.287517547607422,0.17606396973133087,0.29593798518180847,0.43820878863334656,0.04618137702345848,1.5132030248641968,0.48730993270874023
